slug,name
parse-server,Parse Platform
meet-coop,Meet.coop
lidarr,Lidarr
food-not-cops,Food Not Cops
pixelfed,pixelfed
rubocop,RuboCop
expresslrs,ExpressLRS
excalidraw,excalidraw
rsschool,RS School
lemmy,Lemmy
symbiosis-pdx,Symbiosis PDX
typelevel,Typelevel
shields,shields.io
dim,Destiny Item Manager
phpfoundation,PHP Foundation
bushwick-ayuda-mutua,Bushwick Ayuda Mutua
webpack,webpack
ankidroid,AnkiDroid
darkreader,Dark Reader
generator-jhipster,JHipster
oxford-mutual-aid,Oxford Mutual Aid
mochajs,Mocha
11ty,Eleventy
babel,Babel
nest,nest
socketio,socket.io
qubes-os,Qubes OS
jellyfin,Jellyfin
1kproject,1k Project for Ukraine
core-js,core-js
club-a-kitchen,Club A Kitchen
flybywire,FlyByWire Simulations
swiper,Swiper
date-fns,date-fns
chicago-community-jail-support,Chicago Community Jail Support **please look at description to head to our new fiscal sponsor platform**
vuejs,vue
playframework,Play Framework
nixos,The NixOS Foundation
obsproject,Open Broadcaster Software
svelte,Svelte
opencore-legacy-patcher,OpenCore Legacy Patcher
manjaro,manjaro
stashapp,StashApp
transaidcymru,Trans Aid Cymru
radarr,Radarr
getsolus,Solus
jest,Jest
sonarr,Sonarr
m4bl-dc-money-pot,M4BL DC Money Pot
eslint,ESLint
bootstrap-vue,BootstrapVue
mastodonworld,Mastodon.world
north-brooklyn-mutual-aid,North Brooklyn Mutual Aid
ward-2-mutual-aid,Ward 2 Mutual Aid
streetmix,Streetmix
bower,Bower
rpfreestore,Rogers Park Free Store
swma_nyc,Sunnyside & Woodside Mutual Aid
rust-analyzer,Ferrous Systems Open Source Collective for rust-analyzer
street-forum,Street Forum
yiisoft,Yii Software
openaddresses,OpenAddresses
westbrooklynwaterfrontmutualaid,West Brooklyn Waterfront Mutual Aid
f-droid,F-Droid ($)
crystal-lang,Crystal Language
linuxserver,LinuxServer
mastodonie,Mastodon.ie
mpls-northside-mutual-aid,Minneapolis Northside Mutual Aid
fmbot,.fmbot
ionide,Ionide
communitykitchenmpls,Community Kitchen MPLS
nuxtjs,Nuxt
scientist-rebellion,Scientist Rebellion
letztegenerationat,Letzte Generation Österreich
nodemon,nodemon
lairdubois-opencutlist-sketchup-extension,OpenCutList
ridgewood-mutual-aid-project,Ridgewood Mutual Aid Project
lewishamdonationhub,Lewisham Donation Hub
lucee,Lucee
xr-belgium,XR Belgium
endeavouros,EndeavourOS
cambridge-community-kitchen,Cambridge Community Kitchen
cider,CIDER
fody,Fody
mui-org,MUI org
ward-5-mutual-aid,Ward 5 Mutual Aid
liberi-oltre2,Liberi Oltre 
prettier,Prettier
cryptpad,CryptPad
sfba-mastodon,SFBA (Mastodon)
mastodon,Mastodon
dulf,DULF
curl,curl
aurelia,Aurelia
framework7,Framework7
abqfreefridge,ABQ Free Fridge
gitea,Gitea
gowanusmutualaid,Gowanus Mutual Aid
forest-justice-defense-fund,Forest Justice Defense Fund
stellarium,Stellarium
bootstrap-table,bootstrap-table
newsiesocial,Newsie.Social
newhamsolidarityfund,Newham Solidarity Fund
servo,Servo
omnivore,Omnivore
rollup,Rollup
athensmutualaidnetwork,Athens Mutual Aid Network
community-thailand,HoN Community Thailand
jekyll,Jekyll
rva-community-fridges,RVA Community Fridges
ayumpls,Autonomous Yurt Union
lovewins,Love Wins NYC Food Pantry
solid,SolidJS
avalonia,Avalonia
assemblyscript,AssemblyScript
typescript-eslint,typescript-eslint
redux-saga,redux-saga
astrodotbuild,Astro
fider,Fider
farmos,farmOS
rebelion-cientifica-sr-spain,Rebelión Científica (SR Spain)
axios,axios
blacktransfoundation,Black Trans Foundation
gotosocial,GoToSocial
xr-spainn,XR SPAIN
revanced,ReVanced
monitorcontrol,MonitorControl
asciidoctor,Asciidoctor
alversjo,Alversjö
microsolidarity,Microsolidarity
styled-components,styled-components
phalcon,phalcon
modern-web,Modern Web
